Covidence_num,OutcomeCategory,StandardizedRF,RFCategory,StdEffect
#424,AD,rs610932 MS4A6A,Genomic,Increase risk
#424,AD,rs6656401 CR1,Genomic,Increase risk
#359,AD,rs7521G/A,Genomic,Not significant
#296,AD,Saitohin Q7R polymorphism,Genomic,Increase risk
#435,AD,Serum uric acid,Condition,Not significant
#157,dementia,sex,Demographic,Increase risk
#386,FTD,sex,Demographic,Not significant
#655,dementia,sex,Demographic,inconsistent
#952,dementia,sex,Demographic,Increase risk
#565,AD,sleep disturbances,Condition,Increase risk
#568,Dementia,Sleep Disturbances,Condition,Increase risk
#568,AD,Sleep Disturbances,Condition,Increase risk
#568,Vascular Dementia,Sleep Disturbances,Condition,Increase risk
#568,Dementia,sleep disturbances,Condition,Increase risk
#568,AD,sleep disturbances,Condition,Increase risk
#568,Vascular Dementia,sleep disturbances,Condition,Increase risk
#435,dementia,sleep duration,Life style,Increase risk
#435,AD,sleep duration,Life style,not significant
#501,Dementia,Sleep-disordered breathing,Condition,Increase risk
#1021,AD,Smoking,Life style,Increase risk
#1021,Dementia,Smoking,Life style,Increase risk
#1021,Vascular Dementia,Smoking,Life style,Increase risk
#208,AD,smoking,Life style,Increase risk
#213,dementia,Smoking,Life style,inconsistent 
#217,dementia,Smoking,Life style,Increase risk
#274,dementia,Smoking,Life style,inconsistent
#564,AD,Smoking,Life style,inconsistent
#566,AD,smoking,Life style,Decrease risk
#567,AD,smoking,Life style,Increase risk
#655,dementia,Smoking,Life style,inconsistent
#668,AD,smoking,Life style,Increase risk
#934,AD,smoking,Life style,Increase risk
#934,Dementia,smoking,Life style,Increase risk
#952,dementia,smoking,Life style,Increase risk
#435,dementia,Smoking ,Life style,Increase risk
#435,VaD,Smoking ,Life style,Increase risk
#435,AD,Smoking ,Life style,Increase risk
#593,AD,social engagement,Condition,Decrease risk
#435,dementia,social engagement,Life style,Increase risk
#487,dememtia,social engagement,Life style,Decrease risk
#551,dementia,social engagement,Life style,Increase risk
#567,AD,social engagement,Social economic status,Increase risk
#655,dementia,Socioeconomic status,Social economic status,inconsistent
#1058,AD,Solvents,Environment,Increase risk
#419,AD,Sox2OT,Genomic,Increase risk
#588,AD,SSRIs,Medication,Not significant
#245,AD,statin,Medication,not significant
#314,Dementia,statin,Medication,Decrease risk
#314,AD,statin,Medication,Decrease risk
#315,vascular dementia,statin,Medication,inconsistent
#41,dementia,statin,Medication,Not significant
#435,dementia,statin,Medication,Decrease risk
#435,AD,statin,Medication,Decrease risk
#566,AD,statin,Medication,Decrease risk
#567,AD,statin,Medication,Decrease risk
#592,AD,statin,Medication,decrease risk
#640,Dementia,statin,Medication,Decrease risk
#705,Dementia,statin,Medication,Not significant
#721,Dementia,statin,Medication,Decrease risk
#939,AD,statin,Medication,Not significant
#566,AD,stress,Condition,Decrease risk
#1260,dementia,stroke,Condition,Increase risk
#345,dementia,Stroke,Condition,increase risk
#345,vascular dementia,Stroke,Condition,increase risk
#345,AD,Stroke,Condition,decrease risk
#410,Dementia,Stroke,Condition,Increase risk
#559,dementia,stroke,Condition,Increase risk
#952,dementia,stroke,Condition,Increase risk
#747,Dementia,subclinical hypothyroidism (sHT),Condition,Not significant
#468,AD,systolic hypertension,Condition,Increase risk
#555,AD,Tau,Biomarker,Increase risk
#868,AD,Tau,Biomarker,increase risk
#868,AD,Tau,Biomarker,Not significant
#868,AD,Tau,Biomarker,increase risk
#868,AD,Tau,Biomarker,increase risk
#1078,AD,telomere length,Genomic,Increase risk
#368,AD,Telomere length,Genomic,Increase risk
#473,AD,telomere length,Genomic,Increase risk
#571,AD,the neurological and immune-mediated disease haplotype HLA-DR15,Biomarker,Increase risk
#856,AD,therapeutic potential of vaccines,Medication,Not significant
#405,AD,thrombomodulin,Biomarker,Increase risk
#251,AD,TNF-a promoter 2308 A/G polymorphism,Genomic,Increase risk
#392,Dementia,Tooth loss,Condition,Increase risk
#398,dementia,Tooth loss,Condition,increase risk
#891,Dementia,Total Cerebral Atrophy,Condition,Increase risk
#553,dementia,toxic heavy metals,Environment,Increase risk
#1105,AD,Toxoplasma infection,Condition,Not significant
#42,Vascular dementia,Traditional Chinese herbal medicine (TCHM),Medication,Not significant
#1127,dementia,traumatic brain injury,Condition,Increase risk
#346,Dementia,traumatic brain injury,Condition,Not significant
#421,dementia,traumatic brain injury,Condition,Increase risk
#428,AD,traumatic brain injury,Condition,Not significant
#435,dementia,traumatic brain injury,Condition,Not significant
#435,AD,traumatic brain injury,Condition,Not significant
#449,dementia,traumatic brain injury,Condition,not significant
#449,AD,traumatic brain injury,Condition,increase risk
#454,dementia,traumatic brain injury,Condition,Increase risk
#487,dementia,traumatic brain injury,Condition,Increase risk
#567,AD,traumatic brain injury,Condition,Increase risk
#685,dementia,traumatic brain injury,Condition,inconsistent
#691,dementia,traumatic brain injury,Condition,Not significant
#952,dementia,traumatic brain injury,Condition,Increase risk
#17,dementia,treatment of Type 2 diabetes(glycaemic control),Medication,Increase risk
#387,AD,TREM2 variants,Genomic,Increase risk
#440,AD,TREM2 variants,Genomic,Increase risk
#111,dementia,type 2 diabetes mellitus,Condition,Increase risk
#208,AD,type 2 diabetes mellitus,Condition,Increase risk
#282,AD,type 2 diabetes mellitus,Condition,Increase risk
#512,dementia,type 2 diabetes mellitus,Condition,Increase risk
#566,AD,type 2 diabetes mellitus,Condition,Increase risk
#621,AD,type 2 diabetes mellitus,Condition,Increase risk
#621,Vascular dementia,type 2 diabetes mellitus,Condition,Increase risk
#831,AD,type 2 diabetes mellitus,Condition,Increase risk
#831,vascular dementia,type 2 diabetes mellitus,Condition,Increase risk
#952,dementia,type 2 diabetes mellitus,Condition,Increase risk
#318,AD,Val66Met polymorphism,Genomic,Not significant
#716,FTD,Valosin Containing Protein(VCP) Gene Mutations,Genomic,Increase risk
#213,dementia,vascular risk factors,Condition,Not significant
#226,dementia,Vegetable consumption,Life style,decrease risk
#197,AD,Vitamin A supplementation,Medication,decrease risk
#935,dementia,Vitamin B deficiency,Condition,Not significant
#1073,Dementia,vitamin B supplementation,Medication,Not significant
#588,AD,vitamin B supplementation,Medication,Not significant
#244,dementia,Vitamin C supplementation,Medication,Decrease risk
#566,AD,vitamin C supplementation,Medication,Decrease risk
#188,dementia,vitamin d deficiency,Condition,increase risk
#335,dementia,vitamin d deficiency,Condition,Increase risk
#553,dementia,vitamin d deficiency,Condition,Increase risk
#156,Dementia,vitamin d level,Biomarker,Increase risk
#557,dementia,vitamin d level,Biomarker,Increase risk
#557,AD,vitamin d level,Biomarker,Increase risk
#244,dementia,vitamin E supplementation,Medication,Decrease risk
#35,Dementia,vitamin E supplementation,Medication,Not significant
#425,AD,vitamin E supplementation,Medication,Decrease risk
#489,AD,vitamin E supplementation,Medication,Not significant
#566,AD,vitamin E supplementation,Medication,Decrease risk
#13,Dementia,Vitamin supplementation,Medication,Not significant
#405,AD,Von Willebrand factor,Biomarker,Increase risk
#405,vascular dementia,Von Willebrand factor,Biomarker,Increase risk
#259,dementia,White matter hyperintensities,Biomarker,Increase risk
#420,AD,White matter hyperintensities,Biomarker,decrease risk
#950,dementia,White matter hyperintensities,Biomarker,Increase risk
#322,dementia,White matter Hyperintensities,Condition,Increase risk
#322,AD,White matter Hyperintensities,Condition,Increase risk
#891,Dementia,White Matter Hyperintensities,Condition,Increase risk
#891,AD,White Matter Hyperintensities,Condition,Increase risk
#891,Vascular Dementia,White Matter Hyperintensities,Condition,Increase risk
#915,Dementia,White matter hyperintensities,Condition,Increase risk
#915,AD,White matter hyperintensities,Condition,Increase risk
#34,dementia,withdrawing antihypertensive medications,Medication,Not significant
#219,dementia,Year,Demographic,not significant
#1143,Dementia,yoga,Life style,Decrease risk
#821,dementia,yoga,Life style,Not significant
#821,AD,yoga,Life style,Not significant
#340,AD,Zinc,Biomarker,inconsistent
